,processo,classe,assunto,magistrado,comarca,foro,vara,disponibilizacao
43,00005358720178260274,Ação Penal - Procedimento Ordinário,Incêndio,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-04-30
44,11025375820178260100,Procedimento Comum Cível,Indenização por Dano Moral,Mariana de Souza Neves Salinas,SÃO PAULO,Foro Central Cível,31ª Vara Cível,2019-04-29
45,00017041220178260274,Ação Penal - Procedimento Sumário,Crimes de Trânsito,Gustavo Abdala Garcia De Mello,Itápolis,Foro de Itápolis,1ª Vara,2019-04-16
46,00012633120178260274,Ação Penal - Procedimento Sumário,Crimes de Trânsito,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-04-12
47,15001384420188260556,Ação Penal - Procedimento Ordinário,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-04-10
48,00030166220138260274,Ação Penal - Procedimento Ordinário,Crimes de Trânsito,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-04-03
49,15006491520188260274,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-04-02
50,00003816920178260274,Ação Penal - Procedimento Ordinário,Furto Qualificado,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-04-02
51,10009408620198260161,Procedimento Comum Cível,Perdas e Danos,ANDRE PASQUALE ROCCO SCAVONE,Diadema,Foro de Diadema,2ª Vara Cível,2019-04-01
52,10000754820188260145,Representação Criminal/Notícia de Crime,Injúria,PRISCILLA RAMINELI LEITE PEREIRA,Conchas,Foro de Conchas,Juizado Especial Cível e Criminal,2019-03-26
53,00005052320158260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-03-26
54,00019409520168260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-03-25
55,00014934420158260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-03-25
56,10113094120188260011,Procedimento do Juizado Especial Cível,Indenização por Dano Moral,Henrique Vergueiro Loureiro,SÃO PAULO,Foro Regional XI - Pinheiros,1ª Vara do Juizado Especial Cível,2019-03-22
57,00001975020168260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-03-18
58,15000702820198260599,Ação Penal - Procedimento Ordinário,Roubo,Flavia de Cassia Gonzales de Oliveira,Piracicaba,Foro de Piracicaba,2ª Vara Criminal,2019-03-18
59,10177530720188260071,Procedimento do Juizado Especial Cível,Obrigações,Rodrigo Otávio Machado de Melo,Bauru,Foro de Bauru,2ª Vara do Juizado Especial Cível,2019-03-14
60,00004523720188260274,Ação Penal - Procedimento Ordinário,Furto Qualificado,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-03-11
61,00004449420178260274,Ação Penal - Procedimento Ordinário,Furto,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-02-21
62,15007054820188260274,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-02-21
63,15008146220188260274,Procedimento Especial da Lei Antitóxicos,Tráfico de Drogas e Condutas Afins,VINICIUS GONCALVES PORTO NASCIMENTO,Itápolis,Foro de Itápolis,1ª Vara,2019-02-06
